id,text
0,taarifa hiyo ilisema kuwa ongezeko la joto la maji juu ya wastani katikati ya bahari ya UNK inaashiria kuwepo kwa mvua za el nino UNK hadi mwishoni mwa april ishirini moja sifuri imeelezwa kuwa ongezeko la joto magharibi mwa bahari ya hindi linatarajiwa kuhamia katikati ya bahari hiyo hali ambayo itasababisha pepo kutoka kaskazini mashariki kuvuma kuelekea bahari ya hindi
1,aidha ilisema kuwa mwelekeo wa kupungua kwa joto kusini mashariki mwa bahari ya atlantic UNK kusababisha pepo kutoka magharibi kuvuma kuelekea magharibi mwa tanzania katika maeneo ya ziwa victoria
2,mwelekeo wa mvua wa septemba hadi desemba ishirini sifuri tisa unatarajiwa kuwa katika namna tofauti ambapo baadhi ya maeneo yanaweza kunufaika huku mengine UNK
3,ilifafanua kuwa msimu wa vuli UNK maeneo ambayo hupata mvua mara mbili ambayo ni kaskazini mwa nchi ikiwa ni nyanda za juu kaskazini mashariki kanda ya ziwa victoria na pwani ya kaskazini
4,katika maeneo hayo mvua zinatarajiwa kunyesha wiki ya pili na tatu ya septemba mwaka huu
5,mvua za msimu ambazo UNK mara moja kwa mwaka zinatarajiwa katika mikoa ya magharibi ambayo ni tabora rukwa kigoma kusini mwa mkoa wa shinyanga ambapo zinatarajiwa kuanza wiki ya kwanza ya novemba mwaka huu ambapo wastani wake unatarajiwa kuwa juu
6,katika mikoa ya kati mvua zinatarajiwa kunyesha singida na dodoma kuanzia wiki ya tatu na nne ya novemba mwaka huu na kupimwa juu ya wastani
7,mikoa ya nyanda za juu magharibi mvua UNK kuanza wiki ya tatu hadi ya nne ya novemba mwaka huu ambapo zinatarajiwa kuwa zaidi ya wastani wa kawaida
8,katika mikoa ya kusini na pwani ya kusini ambayo ni ruvuma mtwara pamoja na lindi mvua zinatarajiwa kuanza katika wiki ya tatu na nne ya novemba ambapo zinatarajiwa kuwa chini ya wastani
9,taarifa hiyo ilieleza kuwa baadhi ya maeneo yanaweza kuathirika kutokana na uwepo wa mvua hizo huku mengine UNK kwa kuwa na mvua za wastani
10,mamlaka ya hali ya hewa nchini UNK wakulima kuchagua zao UNK kupanda pamoja na kupata ushauri kutoka kwa maofisa ugavi wa kilimo ili kuongeza mavuno
11,rais jakaya kikwete amewataka majaji na mahakimu kuhakikisha tabaka la masikini linapata haki zao kupitia mahakama
12,rais kikwete aliyasema hayo jana wakati alipokuwa akifungua mkutano wa siku mbili wa chama cha kimataifa cha majaji wanawake wa afrika unaofanyika katika kituo cha mikutano ya kimataifa cha arusha
